dtitle,author,publisher,publishDate,imageUrl,idBook,pages,language,isValid,price,rating,description,stock,category,idUser,issold
Classical Mythology,Mark P. O. Morford,Oxford University Press,2002,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,1,940,French,APPROVED,44.11,2,Impact building meet two say officer. Production field exactly continue.,63,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Clara Callan,Richard Bruce Wright,HarperFlamingo Canada,2001,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,2,356,English,APPROVED,6.78,1,Provide music card anyone physical site these. Drive artist those. Four job step less play. Identify ahead system down analysis.,76,BIOGRAPHY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Decision in Normandy,Carlo D'Este,HarperPerennial,1991,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,3,328,Spanish,APPROVED,19.04,1,Great plant party hold role. Democratic sometimes try energy understand authority.,63,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,Farrar Straus Giroux,1999,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,4,110,English,APPROVED,20.8,2,"Green here six. Camera strategy heart manage condition somebody center.
Oil anyone door business. Position likely land compare.",85,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
The Mummies of Urumchi,E. J. W. Barber,W. W. Norton &amp; Company,1999,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,5,227,English,APPROVED,14.48,5,Behind appear measure myself professional. South company manager effort yard thing window. Benefit remember tough address.,53,CHILDRENS_LITERATURE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
The Kitchen God's Wife,Amy Tan,Putnam Pub Group,1991,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,6,268,French,APPROVED,25.67,2,In edge unit program without control join. Body same store image recently.,29,MYSTERY,user_2wPRveAHPeTG0QUCpqrLhvXofVT,True
What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,Berkley Publishing Group,2000,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,7,290,French,APPROVED,10.98,5,Soon quality company open radio prepare such. Building doctor tough artist five offer. Quickly tree study natural military southern.,94,THRILLER,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
PLEADING GUILTY,Scott Turow,Audioworks,1993,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,8,232,English,APPROVED,24.81,4,"Walk method you attack. Contain product bring drive plan.
Official perform machine your fact white check call. Purpose side individual size under.",61,NON_FICTION,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,Random House,1996,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,9,586,Spanish,APPROVED,29.42,2,"Leave window this provide sit start. Office thousand system opportunity.
Plant I fall security toward. After fact allow color.",84,ROMANCE,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
Where You'll Find Me: And Other Stories,Ann Beattie,Scribner,2002,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,10,618,English,APPROVED,12.86,5,Participant final military baby call result hundred very. Behind movement week artist. Reduce mean action the continue.,65,SELF_HELP,user_2wPRveAHPeTG0QUCpqrLhvXofVT,False
